price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,receipt_quantity,product_name,product_brands,product_categories,product_nutriscore,product_image_url,store_name,store_city,store_country,store_lat,store_lon,created
162,3302957005013,3.76,False,,EUR,2023-11-27,,Moutarde de Dijon,La cuisine d'autrefois,"['en:condiments', 'en:sauces', 'en:mustards', 'en:dijon-mustards', 'en:groceries']",e,https://images.openfoodfacts.org/images/products/330/295/700/5013/front_fr.29.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:41.017860Z
163,3304011004017,6.28,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:42.201261Z
164,3304022004020,6.28,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:43.391868Z
165,3304037004039,6.92,False,,EUR,2023-11-27,,,,[],unknown,https://images.openfoodfacts.org/images/products/330/403/700/4039/front_en.3.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:44.579003Z
166,3304075004077,22.99,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:45.765709Z
167,3307130602553,5.75,False,,EUR,2023-11-27,,Ravioli Volaille,"Jardin BIO'logique, Jardin bio, Jardin bio logique, LEA Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:meats-and-their-products', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:meals-with-meat', 'en:stuffed-pastas', 'en:pasta-stuffed-with-meat', 'en:poultry-meals', 'en:ravioli', 'en:canned-meals', 'en:meat-ravioli', 'en:turkey-dishes', 'fr:ravioli-a-la-volaille']",c,https://images.openfoodfacts.org/images/products/330/713/060/2553/front_fr.56.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:46.952293Z
168,3307130605004,2.3,False,,EUR,2023-11-27,,Sauce tomate Provencale,"Jardin Bio, Jardin biologique, Léa Nature","['en:condiments', 'en:sauces', 'en:pasta-sauces', 'en:tomato-sauces', 'en:provencale-sauces', 'en:groceries']",b,https://images.openfoodfacts.org/images/products/330/713/060/5004/front_fr.64.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:48.127542Z
169,3307130801154,3.35,False,,EUR,2023-11-27,,Haricots verts extra-fins coupés,"Jardin bio, LEA Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:legumes-and-their-products', 'en:canned-foods', 'en:legumes', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:vegetables', 'en:canned-vegetables', 'en:green-beans', 'en:canned-legumes', 'en:canned-green-beans']",a,https://images.openfoodfacts.org/images/products/330/713/080/1154/front_fr.92.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:49.312178Z
170,3307130802557,2.82,False,,EUR,2023-11-27,,Petits pois et jeunes Carottes,"Jardin Bio étic, Jardin bio, Léa Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:legumes-and-their-products', 'en:canned-foods', 'en:legumes', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:vegetables', 'en:canned-vegetables', 'en:canned-legumes', 'en:green-peas', 'en:canned-peas-and-carrots']",a,https://images.openfoodfacts.org/images/products/330/713/080/2557/front_fr.94.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:50.496828Z
171,3307130802625,2.52,False,,EUR,2023-11-27,,Petits pois à l'étuvée extra fins,"Jardin bio, Léa Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:legumes-and-their-products', 'en:canned-foods', 'en:legumes', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:vegetables', 'en:canned-vegetables', 'en:canned-legumes', 'en:green-peas', 'en:canned-peas']",a,https://images.openfoodfacts.org/images/products/330/713/080/2625/front_fr.44.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:51.680460Z
