off_code,off_name,off_brand,off_clean_name,usda_fdc_id,usda_name,usda_brand,usda_category,usda_ingredients,match_score,match_quality
10700021526,Milk Duds,Hershey,Milk Duds,1629649,"HERSHEY'S, MILK CHOCOLATE","Hershey Mexico, S.A. De C.V.",Chocolate,"MILK CHOCOLATE (SUGAR; MILK; CHOCOLATE; COCOA BUTTER; LACTOSE; MILK FAT; SOY LECITHIN; PGPR, EMULSIFIER; VANILLIN, ARTIFICIAL FLAVOR).",40.4,low
34000944552,Plant based oat chocolate confection,Hershey,Plant Based Oat Chocolate Confection,2089201,"HERSHEY'S, CHOCOLATE CAKE","Wal-Mart Stores, Inc.","Cakes, Cupcakes, Snack Cakes","SUGAR, HERSHEY'S SPECIAL DARK SYRUP (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, WATER, COCOA PROCESSED WITH ALKALI, SUGAR, SALT, MONO- AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 60, ARTIFICIAL FLAVOR), ENR",48.3,low
810031480364,Hershey’s S’mores Popcorn,Hershey,Hershey's S'mores Popcorn,1629649,"HERSHEY'S, MILK CHOCOLATE","Hershey Mexico, S.A. De C.V.",Chocolate,"MILK CHOCOLATE (SUGAR; MILK; CHOCOLATE; COCOA BUTTER; LACTOSE; MILK FAT; SOY LECITHIN; PGPR, EMULSIFIER; VANILLIN, ARTIFICIAL FLAVOR).",48.5,low
3403109,Mounds Dark Chocolate,Hershey,Mounds Dark Chocolate,1629649,"HERSHEY'S, MILK CHOCOLATE","Hershey Mexico, S.A. De C.V.",Chocolate,"MILK CHOCOLATE (SUGAR; MILK; CHOCOLATE; COCOA BUTTER; LACTOSE; MILK FAT; SOY LECITHIN; PGPR, EMULSIFIER; VANILLIN, ARTIFICIAL FLAVOR).",58.1,medium
77567254238,Natural Vanilla Ice Cream,"Breyers,Unilever",Natural Vanilla Ice Cream,2517161,Cheerios Cereal,General Mills,Processed Cereal Products,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS",46.3,low
186852000389,Gelato - Madagascan Vanilla Bean,"Talenti,Unilever",Gelato Madagascan Vanilla Bean,2019806,"BARILLA, PASTA, ROTINI",Barilla G & R F.Lli S.P.A.,Pasta by Shape & Type,WHOLE GRAIN DURUM WHEAT FLOUR.,37.7,low
12000012754,Green tea,"Lipton,Unilever",Green Tea,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",33.7,low
186852000334,Caramel cookie crunch gelato,"Talenti,  Unilever",Caramel Cookie Crunch Gelato,2089201,"HERSHEY'S, CHOCOLATE CAKE","Wal-Mart Stores, Inc.","Cakes, Cupcakes, Snack Cakes","SUGAR, HERSHEY'S SPECIAL DARK SYRUP (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, WATER, COCOA PROCESSED WITH ALKALI, SUGAR, SALT, MONO- AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 60, ARTIFICIAL FLAVOR), ENR",42.7,low
77567226006,Breyers Homemade Vanilla Ice Cream,"Breyers,Unilever",Breyers Vanilla Ice Cream,2517161,Cheerios Cereal,General Mills,Processed Cereal Products,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS",41.5,low
28400040037,Fritos,Lays,Fritos,2738631,Cheerios Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,"Whole Grain Oats, Corn Starch, Sugar, Salt, Tripotassium Phosphate. Vitamin E (mixed tocopherols) Added to Preserve Freshness.Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients",35.4,low
