price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,product_name,product_brands,product_categories,product_nutriscore,store_name,store_city,store_country,created
53,3263670195019,2.64,False,,EUR,2023-11-27,Rillettes Sardines Algues,Phare d'Eckmuhl,"['en:seafood', 'en:fishes-and-their-products', 'en:spreads', 'en:salted-spreads', 'en:rillettes', 'en:fish-preparations', 'en:fish-rillettes', 'en:sardine-rillettes']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:38:26.907297Z
54,3263670201017,3.94,False,,EUR,2023-11-27,7 à 14 Petites sardines Sprats,Phare d'Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:canned-foods', 'en:fishes', 'en:fatty-fishes', 'en:canned-fishes', 'en:sardines', 'en:canned-sardines', 'en:sardines-in-oil']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:28.104170Z
55,3263670451016,3.9,False,,EUR,2023-11-27,Skipjack Tuna | In Brine,Phare d'Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:canned-foods', 'en:fishes', 'en:fatty-fishes', 'en:canned-fishes', 'en:tunas', 'en:canned-tunas', 'en:tropical-tunas', 'en:skipjack-tuna', 'en:tunas-in-brine']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:38:29.280427Z
56,3263670454017,4.21,False,,EUR,2023-11-27,Thon listao huile d olive,Phare d'Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:canned-foods', 'en:fishes', 'en:fatty-fishes', 'en:canned-fishes', 'en:tunas', 'en:canned-tunas', 'en:tropical-tunas', 'en:tunas-in-oil', 'en:tuna-in-olive-oil', 'en:skipjack-tuna']",b,L'Éléfàn,Grenoble,France,2023-11-27T11:38:30.450935Z
57,3263670455014,2.95,False,,EUR,2023-11-27,Rillettes de Thon,Phare d'Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:meats-and-their-products', 'en:spreads', 'en:fatty-fishes', 'en:meats', 'en:prepared-meats', 'en:salted-spreads', 'en:rillettes', 'en:tunas', 'en:fish-preparations', 'en:fish-rillettes', 'en:tuna-rillettes']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:38:31.905505Z
58,3263670560114,3.89,False,,EUR,2023-11-27,"Filets de Harengs fumés, aux carottes oignons bio",Phare D’eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:canned-foods', 'en:fishes', 'en:fatty-fishes', 'en:canned-fishes', 'en:fish-fillets', 'en:herring', 'en:smoked-fishes', 'en:smoked-herrings', 'en:canned-herrings', 'en:herring-fillets']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:33.297129Z
59,3263670591019,4.67,False,,EUR,2023-11-27,Anchois entiers à l'huile d'olive extra bio,Phare d'Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:fatty-fishes', 'en:anchovy']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:34.475205Z
60,3263670790214,4.3,False,,EUR,2023-11-27,Rillettes De Saumon,Phare d' Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:meats-and-their-products', 'en:spreads', 'en:meats', 'en:prepared-meats', 'en:salted-spreads', 'en:rillettes', 'en:fish-preparations', 'en:fish-rillettes', 'en:salmon-rillettes', 'en:preparations-made-from-fish-meat']",b,L'Éléfàn,Grenoble,France,2023-11-27T11:38:35.653952Z
61,3263670991116,3.75,False,,EUR,2023-11-27,Foie de morue au naturel,Phare d'Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:fish-and-meat-and-eggs', 'en:lean-fishes', 'en:cods', 'en:fish-livers', 'en:cod-livers']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:36.833798Z
62,3263670991314,3.75,False,,EUR,2023-11-27,Foie Morue Fumé Au Bois De Hêtre,Phare d'Eckmuhl,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:fish-and-meat-and-eggs', 'en:lean-fishes', 'en:cods', 'en:fish-livers', 'en:cod-livers']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:38.012638Z
63,3263670991321,6.75,False,,EUR,2023-11-27,Foie de morue,Phare d'Eckmühl,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:fish-and-meat-and-eggs', 'en:lean-fishes', 'en:cods', 'en:fish-livers', 'en:cod-livers']",e,L'Éléfàn,Grenoble,France,2023-11-27T11:38:39.198650Z
64,3264950111156,3.26,False,,EUR,2023-11-27,Germe de Blé,Abbaye de Sept-Fons,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:cereal-germs', 'en:wheat-germ']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:38:40.374263Z
65,3264950120042,5.49,False,,EUR,2023-11-27,Café instantané et céréales,Abbaye de sept fons,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:coffees', 'fr:succedane-de-cafe']",b,L'Éléfàn,Grenoble,France,2023-11-27T11:38:41.554212Z
66,3264950120097,6.28,False,,EUR,2023-11-27,Germacoré - 100GR - Abbaye De Sept-Fons,Abbaye de sept fons,"['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:bee-products', 'en:beverage-preparations', 'en:powdered-plant-milks', 'en:instant-beverages', 'en:powdered-cereal-milks', 'en:royal-jelly', 'fr:chicoree']",b,L'Éléfàn,Grenoble,France,2023-11-27T11:38:42.730793Z
67,3266140053505,2.9,False,,EUR,2023-11-27,Sauce aux Morilles,Saint jean,"['en:condiments', 'en:sauces', 'en:groceries', 'fr:autres-sauces-viande-accompagnement-∣-other-meat-sauce', 'fr:sauces-aux-morilles']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:43.903230Z
68,3266140053512,2.9,False,,EUR,2023-11-27,Sauce Nantua aux écrévisses,Saint jean,"['en:condiments', 'en:sauces', 'fr:sauces-nantua']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:45.082639Z
69,3266140053529,5.7,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:38:46.264016Z
70,3266140055240,3.96,False,,EUR,2023-11-27,Farine de blé du Trièves,La Lavardoune,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:flours', 'en:cereal-flours', 'en:wheat-flours', 'en:common-wheat-flours', 'en:wheat-flour-type-65']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:38:47.461088Z
71,3266140055257,3.96,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:38:48.635540Z
72,3266140055264,3.3,False,,EUR,2023-11-27,Ravioles au bloc de foie gras de canard,"Royans,Saint Jean","['en:meals', 'en:pasta-dishes', 'en:stuffed-pastas', 'fr:ravioles']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:49.807552Z
73,3266140055271,5.28,False,,EUR,2023-11-27,Farine de riz intégrale,La Lavardoune,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:flours', 'en:cereal-flours', 'en:rice-flours']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:38:50.986408Z
74,3266140055790,3.46,False,,EUR,2023-11-27,Soufflés BIO Nature 4*80g,Saint jean,"['en:frozen-foods', 'en:meals', 'en:fresh-foods', 'en:fresh-meals', 'fr:quenelles', 'en:plain-quenelles', 'fr:quenelles-natures-∣-nature-quenelle']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:52.165520Z
75,3266140057404,2.2,False,,EUR,2023-11-27,POLENTE BIO  NATURE,SAINT - JEAN,[],unknown,L'Éléfàn,Grenoble,France,2023-11-27T11:38:53.342029Z
76,3266140059125,2.32,False,,EUR,2023-11-27,Gnocchi BIO à poêler sachet,Saint jean,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:pastas', 'en:fresh-pasta', 'en:gnocchi', 'en:potato-gnocchi', 'fr:gnocchis-∣-gnocchi']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:38:54.514370Z
77,3266140059514,3.27,False,,EUR,2023-11-27,Ravioles BIO Emmental,Saint jean,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meals', 'en:fresh-foods', 'en:pasta-dishes', 'en:pastas', 'en:stuffed-pastas', 'en:fresh-meals', 'en:fresh-pasta', 'fr:ravioles', 'en:ravioles-du-dauphine', 'fr:autres-pates-fraiches-farcies-∣-other-fresh-ravioli']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:38:55.690533Z
78,3266140061524,3.17,False,,EUR,2023-11-27,Ravioli BIO tomates confites & romarin,Saint jean,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:stuffed-pastas', 'en:fresh-pasta', 'fr:ravioles', 'fr:pates-fraiches-farcies-a-la-tomate-∣-tomato-stuffed-pasta']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:38:56.870675Z
79,3266140061531,3.17,False,,EUR,2023-11-27,Ravioli aux epinards cuisinés & pointe d'ail,Saint jean,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:stuffed-pastas', 'en:egg-pastas', 'en:fresh-pasta', 'en:pasta-stuffed-with-vegetables', 'en:ravioli', 'fr:ravioles', 'fr:pates-fraiches-farcies-aux-epinards-∣-spinach-stuffed-pasta', 'fr:pates-fraiches-crues-farcies-au-fromage-et-aux-legumes', 'fr:pates-fraiches-crues-farcies-aux-legumes']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:38:58.040705Z
81,3266140061555,21.3,False,,EUR,2023-11-27,Ravioli au Boursin Ail & fines herbes sachet,Saint jean,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:meals', 'en:cereals-and-their-products', 'en:fresh-foods', 'en:pasta-dishes', 'en:pastas', 'en:stuffed-pastas', 'en:ravioli', 'en:fresh-meals', 'en:fresh-pasta', 'en:fresh-ravioli', 'en:pasta-stuffed-with-cheese', 'en:cheese-ravioli', 'fr:pates-fraiches-farcies-au-fromage-∣-cheese-stuffed-pasta']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:39:00.516123Z
82,3266140061739,3.24,False,,EUR,2023-11-27,Ravioli BIO Comté AOP & poivre noir,Saint jean,['fr:pates-fraiches-farcies-au-fromage-∣-cheese-stuffed-pasta'],d,L'Éléfàn,Grenoble,France,2023-11-27T11:39:01.797813Z
83,3266140063276,2.9,False,,EUR,2023-11-27,Ravioli aux poivrons grillés & pointe d'ail,Saint jean,"['en:meals', 'en:pasta-dishes', 'en:stuffed-pastas', 'en:pasta-stuffed-with-vegetables', 'en:fresh-pasta-stuffed-with-vegetables', 'en:cooked-fresh-pasta-stuffed-with-vegetables', 'fr:pates-fraiches-farcies-au-fromage-∣-cheese-stuffed-pasta', 'fr:pates-fraiches-farcies-aux-legumes-∣-vegetable-stuffed-pasta']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:39:02.987495Z
84,3266140063436,3.31,False,,EUR,2023-11-27,Ravioli au Mont d'Or AOP & romarin,Saint jean,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:stuffed-pastas', 'en:fresh-pasta', 'en:fresh-pasta-stuffed-with-cheese-and-vegetables', 'fr:pates-fraiches-farcies-au-fromage-∣-cheese-stuffed-pasta']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:39:04.175429Z
85,3267110001014,22.23,False,,EUR,2023-11-27,Purée Crue Noisettes,Perl' Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:hazelnut-butters']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:39:05.410831Z
86,3267110001038,8.43,False,,EUR,2023-11-27,Purée crue noisette,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:almond-butters', 'en:hazelnut-butters']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:39:06.640963Z
87,3267110001090,3.65,False,,EUR,2023-11-27,Purée crue cacahuète,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:legume-butters', 'en:nut-butters', 'en:peanut-butters']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:39:07.815037Z
88,3267110001106,8.14,False,,EUR,2023-11-27,Purée crue d'amandes complètes 300G,Perl'amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:almond-butters', 'en:whole-almond-purees']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:39:08.987643Z
