price_id,product_name,source,completeness,consistency,accuracy,freshness,dq_score
86,Purée crue noisette,open_prices,25.0,20.0,20.0,25.0,90.0
87,Purée crue cacahuète,open_prices,25.0,20.0,20.0,25.0,90.0
88,Purée crue d'amandes complètes 300G,open_prices,25.0,20.0,20.0,25.0,90.0
89,Purée crue d'amande complète 200G,open_prices,25.0,20.0,20.0,25.0,90.0
90,Purée crue 100% Sésame Complet,open_prices,25.0,20.0,20.0,25.0,90.0
91,Purée Crue Sesame Demi Complet,open_prices,25.0,20.0,20.0,25.0,90.0
92,Purée amande coco,open_prices,25.0,20.0,20.0,25.0,90.0
93,Crunchy amande complète,open_prices,25.0,20.0,20.0,25.0,90.0
94,Puree d'amande orange camu camu,open_prices,25.0,20.0,20.0,25.0,90.0
95,Purée d'amande Framboise Thé vert,open_prices,25.0,20.0,20.0,25.0,90.0
96,Purée de sésame demi-complet,open_prices,25.0,20.0,20.0,25.0,90.0
97,Purée crue 100% sésame Tahin,open_prices,25.0,20.0,20.0,25.0,90.0
98,Epicerie / Epicerie Sucrée / Pâtes D'amandes Bio,open_prices,25.0,20.0,20.0,25.0,90.0
99,Pâtes D'amandes Complète Bio,open_prices,25.0,20.0,20.0,25.0,90.0
100,Lait d’amande chocolat,open_prices,25.0,20.0,20.0,25.0,90.0
101,Noisett'ina,open_prices,25.0,20.0,20.0,25.0,90.0
