product_id,name,brand,source,completeness,consistency,accuracy,freshness,dq_score
1460452,Pepsi Cola 12 Fluid Ounce Aluminum Can,Pepsico Inc.,usda,16.7,25.0,25.0,10.0,76.7
2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD","Ferrero U.S.A., Incorporated",usda,16.7,20.0,25.0,10.0,71.7
2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA","Ferrero U.S.A., Incorporated",usda,16.7,20.0,25.0,10.0,71.7
2654459,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA","Ferrero U.S.A., Incorporated",usda,16.7,20.0,25.0,10.0,71.7
1759570,"SKIPPY, PEANUT BUTTER",Hormel Foods Corporation ,usda,16.7,20.0,25.0,10.0,71.7
1849948,"SKIPPY, CREAMY SPREAD, PEANUT BUTTER, PEANUT BUTTER",Unilever Bestfoods North America,usda,16.7,20.0,25.0,10.0,71.7
2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,usda,16.7,20.0,25.0,10.0,71.7
1624854,"HEINZ, TOMATO KETCHUP",Kraft Heinz Foods Company,usda,16.7,20.0,25.0,10.0,71.7
1850762,"POTATO CHIPS, HEINZ KETCHUP",Herr Foods Inc.,usda,16.7,20.0,25.0,10.0,71.7
2088784,"HEINZ, TOMATO KETCHUP, HOT & SPICY","Original Chili Co., Inc.",usda,16.7,20.0,25.0,10.0,71.7
1592690,"KRAFT, MACARONI & CHEESE DINNER",Kraft Heinz Foods Company,usda,16.7,20.0,25.0,10.0,71.7
2675215,"KRAFT, SHARP CHEDDAR CHEESE",Kraft Heinz Foods Company,usda,16.7,20.0,25.0,10.0,71.7
1662005,"KRAFT, SHAVED PARMESAN CHEESE",Kraft Heinz Foods Company,usda,16.7,20.0,25.0,10.0,71.7
1912642,"HERSHEY'S, MILK CHOCOLATE",Ross Acquisition Inc.,usda,16.7,20.0,25.0,10.0,71.7
2667092,"M&M'S MINIS, M&M'S",Brownie Brittle LLC,usda,16.7,20.0,25.0,10.0,71.7
2418796,"MINI M&M COOKIES M&M BAKING BITS, MINI M&M",Jerry's Enterprises Inc.,usda,16.7,20.0,25.0,10.0,71.7
1898075,M&M'S MINIS,"Wegmans Food Markets, Inc. ",usda,16.7,20.0,25.0,10.0,71.7
1455998,CAMPBELL'S SOUP DISCONTINUED,CAMPBELL SOUP COMPANY,usda,16.7,20.0,25.0,10.0,71.7
756994,CAMPBELL'S SOUP LENTIL,CAMPBELL SOUP COMPANY,usda,16.7,20.0,25.0,10.0,71.7
757014,CAMPBELL'S SOUP STEAK,CAMPBELL SOUP COMPANY,usda,16.7,20.0,25.0,10.0,71.7
2699981,"Prego Classic Pasta Sauce, 18.5 Oz Can",CAMPBELL SOUP COMPANY,usda,16.7,25.0,25.0,10.0,76.7
2695835,"Prego Mushroom Pasta Sauce, 14 oz Jar",CAMPBELL SOUP COMPANY,usda,16.7,25.0,25.0,10.0,76.7
2695834,"Prego Mushroom Pasta Sauce, 24 oz Jar",CAMPBELL SOUP COMPANY,usda,16.7,25.0,25.0,10.0,76.7
2016665,"ACADEMIA BARILLA, FARFALLE BARILLA PASTA",Barilla G & R F.Lli S.P.A.,usda,16.7,20.0,25.0,10.0,71.7
2019806,"BARILLA, PASTA, ROTINI",Barilla G & R F.Lli S.P.A.,usda,16.7,20.0,25.0,10.0,71.7
2634359,"BARILLA, ORGANIC, PENNE PASTA",Barilla G & R F.Lli S.P.A.,usda,16.7,20.0,25.0,10.0,71.7
2600632,"ASPARAGUS RAGU MAFALDA PASTA WITH ASPARAGUS IN A RICH RAGU SAUCE, ASPARAGUS RAGU",Conagra Frozen Foods,usda,16.7,20.0,25.0,10.0,71.7
1896408,SAUSAGE RAGU PASTA SAUCE,TRZ Marketing,usda,16.7,20.0,25.0,10.0,71.7
